name,path,size,file_or_dir
884aad04ba141eb759400e9712e9cf7c9b3916,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\29,374,file
0a89f871d70d06c040baf0ae9ba03b7815b1b2,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\2f,386,file
3e7b4c8ac0691aecab94f2ef568e0e1e917450,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\2f,162,file
cc877994f91591e6aef13e7a5001dc45d7481b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\2f,441,file
84c99d3182e07a2ddd3e61e42134472feedb56,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\32,140,file
aaa858ee484d9a1d6eec172d9304590c1f2144,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\33,154,file
eb1ddfbbc029bcab630581847471d7f238ec53,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\35,140,file
b127cf7d75afb868658221150670fcda4b2021,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\37,445,file
4640ec0dd93aa7da54678a6f8ea668ff2a78de,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\39,233,file
fdcba8b097621a2aa7dbb6406541cd7d326c34,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\3a,298,file
6412049004801264f96a6f569e4b5798edf74b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\40,110,file
563797b40e1ac4be4e8eb1218fafd8d554dff2,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\41,869,file
1bab8fb5a81796549c4807aed998be4ffe22f5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\44,96,file
978d447a8fdebd72ff0c61d5e5d50ac76a2bb5,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\46,259,file
e1b30234cc365c847c6bf3de756006d6ead58e,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\48,697,file
eec34e26ba71ac0a902f7b9840dedb5ee19502,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\4e,881,file
f5f61dc24efdae3351018d014b64a74dc49ba1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\4e,337,file
00c134390cbbabdfdd6e3419cc5c6f6b8e8631,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\4f,259,file
040f817a2d41db76db3ae210709fa1765b4ec2,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\51,358,file
eb004d46a7388043c3d231dfbdc5089f3c1d45,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\53,179,file
4da9ae1b3b4af1a4d97c84fa4ab42c529526ec,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\54,339,file
571d073bcc50512017c656b9f822f587fc7680,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\56,115,file
3ed4fa77b8601fd8ea3bdbebaf25f60af1129e,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\57,566,file
cd77a5eaefd72d120fe37f98887695757fd3c1,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\59,315,file
34c1bbcf4111cb62b411a55712777313a3340f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\5b,51,file
3de2a8790b7f6b5ba462353e9a9619ce77f056,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\5d,73,file
a55dd55426803aaa4dafe5558871fbb530a24b,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\60,79,file
fc4d9cfb05f574ac721266571a42ce6b71cb7e,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects\63,389,file
